"Theme 1 - 1 : Persons aged 18 and under by sex and single year of age and persons aged 19 and over by sex, 2006";;;;
"Geographic Area";"Year of Age";"Persons";"Males";"Females"
"Dublin City 02/403";"19+";755;344;411
"Dublin City 02/403";"Total";929;422;507
"Dublin City 02/404";0;4;1;3
"Dublin City 02/404";1;4;2;2
"Dublin City 02/404";2;2;1;1
"Dublin City 02/404";3;8;2;6
"Dublin City 02/404";4;2;1;1
"Dublin City 02/404";5;9;7;2
"Dublin City 02/404";6;2;0;2
"Dublin City 02/404";7;4;2;2
"Dublin City 02/404";8;7;3;4
"Dublin City 02/404";9;4;2;2
"Dublin City 02/404";10;5;1;4
"Dublin City 02/404";11;10;7;3
"Dublin City 02/404";12;7;3;4
"Dublin City 02/404";13;5;4;1
"Dublin City 02/404";14;5;3;2
"Dublin City 02/404";15;11;7;4
"Dublin City 02/404";16;14;6;8
"Dublin City 02/404";17;11;5;6
"Dublin City 02/404";18;26;15;11
"Dublin City 02/404";"19+";693;310;383
"Dublin City 02/404";"Total";833;382;451
"Dublin City 02/405";0;14;8;6
"Dublin City 02/405";1;3;1;2
"Dublin City 02/405";2;13;5;8
"Dublin City 02/405";3;6;2;4
"Dublin City 02/405";4;7;7;0
"Dublin City 02/405";5;4;3;1
"Dublin City 02/405";6;5;3;2
"Dublin City 02/405";7;2;0;2
"Dublin City 02/405";8;1;0;1
"Dublin City 02/405";9;6;4;2
"Dublin City 02/405";10;11;4;7
"Dublin City 02/405";11;1;0;1
"Dublin City 02/405";12;2;0;2
"Dublin City 02/405";13;7;3;4
"Dublin City 02/405";14;9;3;6
"Dublin City 02/405";15;5;2;3
"Dublin City 02/405";16;6;1;5
"Dublin City 02/405";17;13;5;8
"Dublin City 02/405";18;2;0;2
"Dublin City 02/405";"19+";623;299;324
"Dublin City 02/405";"Total";740;350;390
"Dublin City 02/406";0;15;6;9
"Dublin City 02/406";1;10;4;6
"Dublin City 02/406";2;13;5;8
"Dublin City 02/406";3;7;4;3
"Dublin City 02/406";4;10;8;2
"Dublin City 02/406";5;10;7;3
"Dublin City 02/406";6;11;9;2
"Dublin City 02/406";7;16;11;5
"Dublin City 02/406";8;10;7;3
"Dublin City 02/406";9;11;6;5
"Dublin City 02/406";10;11;6;5
"Dublin City 02/406";11;10;2;8
"Dublin City 02/406";12;16;10;6
"Dublin City 02/406";13;9;4;5
"Dublin City 02/406";14;5;3;2
"Dublin City 02/406";15;8;4;4
"Dublin City 02/406";16;9;3;6
"Dublin City 02/406";17;5;3;2
"Dublin City 02/406";18;12;2;10
"Dublin City 02/406";"19+";669;313;356
"Dublin City 02/406";"Total";867;417;450
"Dublin City 02/407";0;3;1;2
"Dublin City 02/407";1;8;4;4
"Dublin City 02/407";2;7;4;3
"Dublin City 02/407";3;6;3;3
"Dublin City 02/407";4;5;1;4
"Dublin City 02/407";5;2;1;1
"Dublin City 02/407";6;8;3;5
"Dublin City 02/407";7;5;2;3
"Dublin City 02/407";8;7;5;2
"Dublin City 02/407";9;17;11;6
"Dublin City 02/407";10;21;12;9
"Dublin City 02/407";11;9;4;5
"Dublin City 02/407";12;9;0;9
"Dublin City 02/407";13;6;2;4
"Dublin City 02/407";14;13;8;5
"Dublin City 02/407";15;12;7;5
"Dublin City 02/407";16;13;7;6
"Dublin City 02/407";17;15;5;10
"Dublin City 02/407";18;14;8;6
"Dublin City 02/407";"19+";1208;534;674
"Dublin City 02/407";"Total";1388;622;766
"Dublin City 02/408";0;3;2;1
"Dublin City 02/408";1;3;1;2
"Dublin City 02/408";2;2;2;0
"Dublin City 02/408";3;3;2;1
"Dublin City 02/408";4;1;0;1
"Dublin City 02/408";5;0;0;0
"Dublin City 02/408";6;2;0;2
"Dublin City 02/408";7;2;2;0
"Dublin City 02/408";8;1;1;0
"Dublin City 02/408";9;3;2;1
"Dublin City 02/408";10;3;3;0
"Dublin City 02/408";11;2;1;1
"Dublin City 02/408";12;3;2;1
"Dublin City 02/408";13;5;3;2
"Dublin City 02/408";14;8;5;3
"Dublin City 02/408";15;3;3;0
"Dublin City 02/408";16;4;2;2
"Dublin City 02/408";17;11;5;6
"Dublin City 02/408";18;99;50;49
"Dublin City 02/408";"19+";1062;527;535
"Dublin City 02/408";"Total";1220;613;607
"Dublin City 02/409";0;9;4;5
"Dublin City 02/409";1;7;4;3
"Dublin City 02/409";2;5;1;4
"Dublin City 02/409";3;8;5;3
"Dublin City 02/409";4;3;1;2
"Dublin City 02/409";5;6;5;1
"Dublin City 02/409";6;6;2;4
"Dublin City 02/409";7;9;4;5
"Dublin City 02/409";8;8;4;4
"Dublin City 02/409";9;7;3;4
"Dublin City 02/409";10;9;7;2
"Dublin City 02/409";11;8;5;3
"Dublin City 02/409";12;14;5;9
"Dublin City 02/409";13;10;5;5
"Dublin City 02/409";14;8;5;3
"Dublin City 02/409";15;13;4;9
"Dublin City 02/409";16;11;5;6
"Dublin City 02/409";17;13;5;8
"Dublin City 02/409";18;14;7;7
"Dublin City 02/409";"19+";729;333;396
"Dublin City 02/409";"Total";897;414;483
"Dublin City 02/410";0;9;4;5
"Dublin City 02/410";1;6;4;2
"Dublin City 02/410";2;8;4;4
"Dublin City 02/410";3;11;5;6
"Dublin City 02/410";4;10;5;5
"Dublin City 02/410";5;9;5;4
"Dublin City 02/410";6;7;3;4
"Dublin City 02/410";7;11;5;6
"Dublin City 02/410";8;3;2;1
"Dublin City 02/410";9;11;4;7
"Dublin City 02/410";10;11;8;3
"Dublin City 02/410";11;7;3;4
"Dublin City 02/410";12;7;4;3
"Dublin City 02/410";13;12;5;7
"Dublin City 02/410";14;5;2;3
"Dublin City 02/410";15;11;7;4
"Dublin City 02/410";16;9;5;4
"Dublin City 02/410";17;12;7;5
"Dublin City 02/410";18;11;7;4
"Dublin City 02/410";"19+";789;368;421
"Dublin City 02/410";"Total";959;457;502
"Dublin City 02/411";0;8;5;3
"Dublin City 02/411";1;13;12;1
"Dublin City 02/411";2;6;3;3
"Dublin City 02/411";3;10;7;3
"Dublin City 02/411";4;6;2;4
"Dublin City 02/411";5;9;3;6
"Dublin City 02/411";6;7;4;3
"Dublin City 02/411";7;9;5;4
"Dublin City 02/411";8;9;5;4
"Dublin City 02/411";9;6;0;6
"Dublin City 02/411";10;5;3;2
"Dublin City 02/411";11;14;9;5
"Dublin City 02/411";12;6;5;1
"Dublin City 02/411";13;5;3;2
"Dublin City 02/411";14;6;4;2
"Dublin City 02/411";15;9;8;1
"Dublin City 02/411";16;8;1;7
"Dublin City 02/411";17;3;1;2
"Dublin City 02/411";18;25;7;18
"Dublin City 02/411";"19+";1255;583;672
"Dublin City 02/411";"Total";1419;670;749
"Dublin City 02/412";0;7;3;4
"Dublin City 02/412";1;7;5;2
"Dublin City 02/412";2;7;3;4
"Dublin City 02/412";3;6;4;2
"Dublin City 02/412";4;10;6;4
"Dublin City 02/412";5;6;4;2
"Dublin City 02/412";6;8;3;5
"Dublin City 02/412";7;3;1;2
"Dublin City 02/412";8;9;2;7
"Dublin City 02/412";9;6;1;5
"Dublin City 02/412";10;8;6;2
"Dublin City 02/412";11;5;3;2
"Dublin City 02/412";12;8;2;6
"Dublin City 02/412";13;8;3;5
"Dublin City 02/412";14;11;6;5
"Dublin City 02/412";15;10;6;4
"Dublin City 02/412";16;6;3;3
"Dublin City 02/412";17;7;2;5
"Dublin City 02/412";18;6;5;1
"Dublin City 02/412";"19+";707;341;366
"Dublin City 02/412";"Total";845;409;436
"Dublin City 02/413";0;7;3;4
"Dublin City 02/413";1;10;5;5
"Dublin City 02/413";2;12;10;2
"Dublin City 02/413";3;18;8;10
"Dublin City 02/413";4;24;10;14
"Dublin City 02/413";5;26;15;11
"Dublin City 02/413";6;26;15;11
"Dublin City 02/413";7;16;11;5
"Dublin City 02/413";8;30;16;14
"Dublin City 02/413";9;32;21;11
"Dublin City 02/413";10;17;8;9
"Dublin City 02/413";11;16;7;9
"Dublin City 02/413";12;19;9;10
"Dublin City 02/413";13;12;9;3
"Dublin City 02/413";14;11;7;4
"Dublin City 02/413";15;12;6;6
"Dublin City 02/413";16;13;8;5
"Dublin City 02/413";17;10;4;6
"Dublin City 02/413";18;7;3;4
"Dublin City 02/413";"19+";431;172;259
"Dublin City 02/413";"Total";749;347;402
"Dublin City 02/414";0;8;6;2
"Dublin City 02/414";1;6;2;4
"Dublin City 02/414";2;10;5;5
"Dublin City 02/414";3;12;5;7
"Dublin City 02/414";4;11;6;5
"Dublin City 02/414";5;12;6;6
"Dublin City 02/414";6;8;3;5
"Dublin City 02/414";7;9;3;6
"Dublin City 02/414";8;16;5;11
"Dublin City 02/414";9;7;4;3
"Dublin City 02/414";10;18;9;9
"Dublin City 02/414";11;26;16;10
"Dublin City 02/414";12;10;7;3
"Dublin City 02/414";13;9;4;5
"Dublin City 02/414";14;17;11;6
"Dublin City 02/414";15;18;8;10
"Dublin City 02/414";16;14;7;7
"Dublin City 02/414";17;22;17;5
"Dublin City 02/414";18;10;5;5
"Dublin City 02/414";"19+";599;292;307
"Dublin City 02/414";"Total";842;421;421
"Dublin City 02/415";0;11;5;6
"Dublin City 02/415";1;20;12;8
"Dublin City 02/415";2;17;8;9
"Dublin City 02/415";3;17;9;8
"Dublin City 02/415";4;8;3;5
"Dublin City 02/415";5;15;10;5
"Dublin City 02/415";6;18;12;6
"Dublin City 02/415";7;16;6;10
"Dublin City 02/415";8;23;9;14
"Dublin City 02/415";9;17;5;12
"Dublin City 02/415";10;15;5;10
"Dublin City 02/415";11;24;15;9
"Dublin City 02/415";12;19;7;12
"Dublin City 02/415";13;13;10;3
"Dublin City 02/415";14;28;16;12
"Dublin City 02/415";15;30;20;10
"Dublin City 02/415";16;21;13;8
"Dublin City 02/415";17;27;12;15
"Dublin City 02/415";18;15;10;5
"Dublin City 02/415";"19+";863;426;437
"Dublin City 02/415";"Total";1217;613;604
"Dublin City 02/416";0;14;7;7
"Dublin City 02/416";1;16;8;8
"Dublin City 02/416";2;13;6;7
"Dublin City 02/416";3;19;10;9
"Dublin City 02/416";4;15;9;6
"Dublin City 02/416";5;14;5;9
"Dublin City 02/416";6;26;10;16
"Dublin City 02/416";7;14;8;6
"Dublin City 02/416";8;27;12;15
"Dublin City 02/416";9;27;15;12
"Dublin City 02/416";10;21;11;10
"Dublin City 02/416";11;30;14;16
"Dublin City 02/416";12;22;13;9
"Dublin City 02/416";13;21;8;13
"Dublin City 02/416";14;24;15;9
"Dublin City 02/416";15;14;7;7
"Dublin City 02/416";16;18;10;8
"Dublin City 02/416";17;22;6;16
"Dublin City 02/416";18;15;9;6
"Dublin City 02/416";"19+";500;216;284
"Dublin City 02/416";"Total";872;399;473
"Dublin City 02/417";0;20;10;10
"Dublin City 02/417";1;18;12;6
"Dublin City 02/417";2;13;8;5
"Dublin City 02/417";3;24;13;11
"Dublin City 02/417";4;15;6;9
"Dublin City 02/417";5;21;11;10
"Dublin City 02/417";6;18;7;11
